Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34)
0.0,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.422744156298195e-27,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2944070447246415e-69,6.162127541957204e-23,7.443717261239631e-67,0.0,5.655159969470774e-114,3.422947691730424e-47,1.2558464337641694e-72,1.74805949318312e-54,1.211565349573997e-79,8.976804508304961e-43,1.1204207337989296e-30,-1.767872837581286e-126,7.230264730807294e-27,8.440521924457617e-82,2.5307699599635473e-73,4.984919282320525e-122,6.162127653999278e-23,2.0756684577676181e-97,2.8395393509366613e-19,9.705713534209197e-20,6.804282529515138e-20,7.710595761962695e-20,6.386612145310059e-20,3.065573829748829e-20,3.105828330946945e-20,1.5545860047758154e-20,7.230264730799634e-27,5.498182261326377e-37,1.3150177698271238e-20,3.413004470533942e-53,8.567966326423835e-36,1.2527870093993594e-36,1.2626255196076198e-64,2.1841226949904914e-20,3.7552111613642593e-38
3.983683637634946e-27,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9561079260372327e-68,1.7253957117480172e-22,1.1248945525327703e-65,0.0,3.4403098312962165e-112,2.0674604084013236e-46,1.4909408861658427e-71,1.0558279338826042e-53,1.8309175562749447e-78,5.421989923016197e-42,3.1371780546370028e-30,-1.7425953761544818e-126,2.024474124626042e-26,1.2755316732240377e-80,3.0045300967124236e-72,3.0325697076385046e-120,1.7253957431197978e-22,6.526232630479346e-96,7.950710182622645e-19,2.717599789578575e-19,1.9051991082642391e-19,2.1589668133495544e-19,1.7882514006868162e-19,8.58360672329672e-20,8.696319326651445e-20,4.352840813372279e-20,2.0244741246238974e-26,3.320902085841131e-36,3.682049755515945e-20,4.051918907417895e-52,5.17505166115999e-35,7.566833536772128e-36,1.7716696598027498e-63,6.115543545973376e-20,2.268147541464013e-37
9.105562600308448e-27,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1042916445244605e-67,3.9437616268526102e-22,1.2101102277415046e-64,0.0,1.55312030870123e-110,9.953931925752533e-46,1.463814603198566e-70,5.083357006176512e-53,1.9696175574941395e-77,2.610454751015083e-41,7.170692696313149e-30,-4.99516997803771e-127,4.627369427716668e-26,1.3721587682153334e-79,2.949865466061868e-71,1.3690469264353163e-118,3.943761698559538e-22,1.4559665415667465e-94,1.8173051845994586e-18,6.211656661893884e-19,4.354740818889692e-19,4.934781287656125e-19,4.0874317729984365e-19,1.9619672510392504e-19,1.987730131806045e-19,9.949350430565197e-20,4.6273694277117673e-26,1.59887140159371e-35,8.416113726893587e-20,3.978198010854362e-51,2.4915646077240463e-34,3.643104623333336e-35,1.8589228153134098e-62,1.3978385247939145e-19,1.0920154057247263e-36
1.9349320525655452e-26,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9342065588433613e-66,8.380493457061796e-22,1.1122997829275811e-63,0.0,5.864286770740489e-109,4.347143607625293e-45,1.2947274393598206e-69,2.220035556342562e-52,1.8104178705602285e-76,1.1400541725547298e-40,1.523772197966544e-29,4.806111871530171e-125,9.833160033897919e-26,1.2612503101279606e-78,2.6091225994316188e-70,5.1692607033466105e-117,8.380493609439018e-22,2.7268641541889496e-93,3.861773517273836e-18,1.31997704065245e-18,9.253824240140605e-19,1.0486410236269264e-18,8.685792517621672e-19,4.169180408458407e-19,4.2239265300878464e-19,2.1142369664950993e-19,9.83316003388751e-26,6.982691471884497e-35,1.7884241669648863e-19,3.518671088941672e-50,1.0881317234558228e-33,1.5910395019371857e-34,1.691649722181647e-61,2.9704068651870683e-19,4.769118174932609e-36
3.983683637634946e-26,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6547544331361502e-65,1.725395711748017e-21,9.515958822290576e-63,0.0,2.0345935055866004e-107,1.8148469012220087e-44,1.0882964259684689e-68,9.2682114328569e-52,1.5488506041101736e-75,4.75950175030329e-40,3.1371780546370025e-29,1.758723022288137e-123,2.0244741246260425e-25,1.0790261941964452e-77,2.1931247577028932e-69,1.7934566754999397e-115,1.725395743119798e-21,4.709979667329133e-92,7.950710182622548e-18,2.7175997895785728e-18,1.9051991082642457e-18,2.1589668133495535e-18,1.788251400686813e-18,8.58360672329672e-19,8.696319326651454e-19,4.352840813372242e-19,2.0244741246239009e-25,2.915136234955245e-34,3.6820497555159385e-19,2.957655066093185e-49,4.542735746269878e-33,6.642276723835401e-34,1.4407481706741492e-60,6.115543545973376e-19,1.99101295775533e-35
8.081186807773748e-26,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.3681829651301691e-64,3.500088443831691e-21,7.867978774870506e-62,0.0,6.776045859067375e-106,7.414241914479271e-44,8.92251162119473e-68,3.7863667846143645e-51,1.2806196313122372e-74,1.9444117637168872e-39,6.363989767977919e-29,5.914329007431676e-122,4.1067903670985445e-25,8.921597236823017e-77,1.7980561817599482e-68,5.972959535554949e-114,3.50008850747159e-21,7.825701631389374e-91,1.6128583513319806e-17,5.512845287430814e-18,3.864832476764627e-18,4.3796183927948064e-18,3.6275956985360966e-18,1.7412459352973346e-18,1.7641104919778685e-18,8.830048507126461e-19,4.1067903670942067e-25,1.1909282705323397e-33,7.46930093261803e-19,2.4248643171756573e-48,1.8558557781686776e-32,2.7135867738393886e-33,1.1886995061313035e-59,1.2405816907545991e-18,8.133937583961437e-35
1.6276193148051353e-25,0.09466578726852673,0.0,23.505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1125836650361958e-63,7.049473907999041e-21,6.398109671639999e-61,0.0,2.2118142311477287e-104,2.9969552490670346e-43,7.22568124274033e-67,1.530509993137494e-50,1.0413786161904994e-73,7.859623233637391e-39,1.2817613194659753e-28,1.9388552049574505e-120,8.271422852043551e-25,7.254894706847181e-76,1.4561125175957394e-67,1.9496734790728094e-112,7.049474036175172e-21,1.275786874014782e-89,3.248433017471364e-17,1.110333628313528e-17,7.784099213765436e-18,8.820921551685305e-18,7.306284294234635e-18,3.507016461232659e-18,3.553067610603322e-18,1.778446389463463e-18,8.271422852034844e-25,4.8139224825397996e-33,1.5043803286822159e-18,1.9637179929017895e-47,7.501665781167485e-32,1.0968751605055906e-32,9.656264061806197e-59,2.4986363630691218e-18,3.2878676219101534e-34
3.266620582860656e-25,0.09466578726852673,0.0,23.505514978775185,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,8.973390319629158e-63,1.414824483633374e-20,5.16030723761815e-60,0.0,7.148201434636488e-103,1.205062624043454e-42,5.815856884478025e-66,6.1541133681309e-50,8.399095804888187e-73,3.1603199343667935e-38,2.5724860048023423e-28,6.279312123886378e-119,1.660068782193358e-24,5.851335407682205e-75,1.1720060392877795e-66,6.301007818506501e-111,1.414824509358234e-20,2.0603992073833853e-88,6.519582349749857e-17,2.2284318274544144e-17,1.562263268776723e-17,1.7703527869466277e-17,1.4663661485631604e-17,7.038557513103308e-18,7.130981847854255e-18,3.569329466964992e-18,1.6600687821916217e-24,1.935657057829007e-32,3.019280799523021e-18,1.5805710802916807e-46,3.016386817082615e-31,4.410486778070824e-32,7.784131865367949e-58,5.014745707698166e-18,1.3220371102029324e-33
6.544623118971697e-25,0.09466578726852673,0.0,23.505514978775185,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.207915098625852e-62,2.8345786693003135e-20,4.145039402801032e-59,0.0,2.2987544784163076e-101,4.832840897775606e-42,4.6668588803373206e-65,2.4680747100682863e-49,6.746610512910417e-72,1.2674296424448723e-37,5.153935375475076e-28,2.0214577294861243e-117,3.325921776171367e-24,4.70011080872047e-74,9.404610461175861e-66,2.0263097061224205e-109,2.834578720839666e-20,3.312031548029033e-87,1.3061881014305757e-16,4.464628225736161e-17,3.129969963577154e-17,3.5468740505028116e-17,2.9378415868425094e-17,1.4101639616844608e-17,1.4286810322356227e-17,7.151095621967626e-18,3.325921776167934e-24,7.762850545673235e-32,6.049081741204549e-18,1.2683087510443524e-45,1.2097060248478234e-30,1.768802461848902e-31,6.251044628003491e-57,1.004696439695625e-17,5.301960107463227e-33
