Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35)
0.0,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7768118330035195e-27,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.769921875041087e-80,6.631457070952104e-27,2.4068952255034563e-78,0.0,7.708782235730764e-131,1.8092578004879852e-55,1.0963476312301012e-85,8.720324764429364e-65,5.596066267718018e-96,8.876880596348972e-48,3.277509839210642e-39,-1.6739907362409576e-144,1.1960952020395209e-34,3.333527191469252e-100,1.7053075012204356e-86,5.759362471517935e-143,6.631457070955382e-27,1.8970287794165664e-112,2.8724037381845785e-19,9.818045954607025e-20,6.881396627161371e-20,7.79983699926046e-20,6.460529801945626e-20,3.101054304933902e-20,3.1417747054742493e-20,1.5709409305281425e-20,1.1960952020402913e-34,4.522311442101259e-38,1.3302375811712541e-20,4.656253148013366e-55,1.0075096712983545e-35,5.862327009487529e-38,1.7161438025560593e-69,2.2094013916993274e-20,3.837769178909214e-41,1.696486125560781e-50
4.975073132409855e-27,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.208305937562027e-79,1.8568079798665893e-26,3.637300064780858e-77,0.0,4.689651842574384e-129,1.1339487412185344e-54,1.3015839094388275e-84,5.267076157715336e-64,8.454995452906484e-95,5.361635880194779e-47,9.177027549789797e-39,-1.6739907361708507e-144,3.34906656571067e-34,5.03737950014558e-99,2.0245441836965316e-85,3.503719377519024e-141,1.856807979867507e-26,5.964561908875801e-111,8.042730466916817e-19,2.749052867289968e-19,1.9267910556051842e-19,2.183954359792929e-19,1.8089483445447753e-19,8.682952053814926e-20,8.796969175327899e-20,4.398634605478795e-20,3.3490665657153236e-34,2.7314761110291605e-37,3.724665227279511e-20,5.527903737321467e-54,6.085358414642056e-35,3.5408455137304673e-37,2.593372708436347e-68,6.186323896758116e-20,2.3180125830717744e-40,2.0140683274785108e-49
1.1371595731222524e-26,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.75436659381672e-78,4.2441325254093465e-26,3.9128414301965237e-76,0.0,2.117139476129673e-127,5.866918000439544e-54,1.2779028038706696e-83,2.535870441496059e-63,9.095563780214462e-94,2.5813968774182806e-46,2.0976062970948105e-38,-1.673990732723117e-144,7.655009293053014e-34,5.419078278483238e-98,1.9877157430593903e-84,1.5817514117233616e-139,4.244132525411444e-26,1.3306609501734393e-109,1.8383383924381278e-18,6.283549410948497e-19,4.40409384138328e-19,4.991895679526694e-19,4.1347390732452e-19,1.984674755157697e-19,2.0107358115035197e-19,1.0054021955380089e-19,7.655009293075422e-34,1.3150881673630461e-36,8.513520519496027e-20,5.427328669324379e-53,2.92983812413561e-34,1.7047646943589736e-36,2.7898250351745674e-67,1.4140168906875694e-19,1.1160232757427133e-39,1.977424225513176e-48
2.4164640928847862e-26,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.127598859436325e-77,9.018781616494861e-26,3.596575397565412e-75,0.0,7.99396356759107e-126,2.9180526707197677e-53,1.1302905640536699e-82,1.107481245082529e-62,8.360395640187017e-93,1.1273638357363193e-45,4.4574133813264726e-38,-1.6739905980377997e-144,1.6266894747737896e-33,4.981074561996601e-97,1.7581231118468494e-83,5.972429317022625e-138,9.018781616499318e-26,2.4921806925171882e-108,3.906469083931013e-18,1.3352542498265559e-18,9.358699412939477e-19,1.0607778318994223e-18,8.78632053064605e-19,4.2174338547101066e-19,4.272813599444979e-19,2.1364796655182623e-19,1.6266894747835754e-33,5.7433355314686006e-36,1.8091231103929056e-19,4.800410745475859e-52,1.279537282548905e-33,7.445155302049162e-36,2.5643533434346055e-66,3.004785892711085e-19,4.873966841879146e-39,1.749009330883155e-47
4.975073132409854e-26,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.097810885989963e-76,1.856807979866589e-25,3.0769459735410845e-74,0.0,2.7735104119292225e-124,1.5151823960029822e-52,9.500773339791909e-82,4.623516190100448e-62,7.152494993882248e-92,4.7065220921842233e-45,9.177027549789796e-38,-1.673985853431849e-144,3.349066565710841e-33,4.261414895183493e-96,1.4778269715951866e-82,2.072138791609513e-136,1.8568079798675066e-25,4.3046223847500546e-107,8.04273046691676e-18,2.7490528672899678e-18,1.9267910556051888e-18,2.1839543597929286e-18,1.808948344544775e-18,8.682952053814924e-19,8.796969175327898e-19,4.398634605478747e-19,3.349066565751697e-33,2.3977295266020877e-35,3.7246652272795115e-19,4.0350344780180135e-51,5.34181627722383e-33,3.108205780430288e-35,2.193910301870539e-65,6.186323896758116e-19,2.0347852048556645e-38,1.4701477233347726e-46
1.0092291211459989e-25,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,5.041787960637127e-75,3.766667616300795e-25,2.5440784332249095e-73,0.0,9.237168050174866e-123,8.61594165115397e-52,7.789308156798789e-81,1.8888572252744575e-61,5.913821225419593e-91,1.922767844691572e-44,1.8616255886716443e-37,-1.6738266944751758e-144,6.793820747585247e-33,3.523420313994676e-95,1.2116422693805973e-81,6.901257911763827e-135,3.7666676163026564e-25,7.152194473334977e-106,1.6315253232888152e-17,5.576650102216792e-18,3.90863328422768e-18,4.430307415579941e-18,3.669580927505112e-18,1.761398845202456e-18,1.7845280327093735e-18,8.922944485399635e-19,6.793820747752155e-33,9.795507476049012e-35,7.555749461052723e-19,3.308165051593987e-50,2.1823062484190507e-32,1.2698034795630365e-34,1.8140577819522608e-64,1.2549399904852178e-18,8.312761435427575e-38,1.2053159179903574e-45
2.0326727369560262e-25,0.06210963536780779,0.0,15.421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.099898237694649e-74,7.586386889169206e-25,2.0688023309133317e-72,0.0,3.0153093728429405e-121,5.443816157545692e-51,6.307983956433959e-80,7.6350629068466e-61,4.809021211040885e-90,7.772135052372148e-44,3.7494712560569738e-37,-1.6686132197847604e-144,1.3683329111335266e-32,2.8651868908208684e-94,9.812686108429338e-81,2.252796883048148e-133,7.586386889172955e-25,1.1659882112214855e-104,3.286029876483054e-17,1.123184457207044e-17,7.872317741472697e-18,8.923013527153966e-18,7.390846093425783e-18,3.547606124844384e-18,3.594190263062541e-18,1.797156424524108e-18,1.3683329112009945e-32,3.959500738508873e-34,1.521791792859914e-18,2.6790378287517977e-49,8.821230776859019e-32,5.132748688502785e-34,1.475310183668002e-63,2.52755519210403e-18,3.3601510329313526e-37,9.760960670589926e-45
4.079559968576081e-25,0.06210963536780779,0.0,15.421822461826673,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.306716457714387e-73,1.522582543490603e-24,1.6685640273932898e-71,0.0,9.745888793666181e-120,3.7660285847883166e-50,5.0772146882448685e-79,3.0700252146164146e-60,3.878649825936288e-89,3.1251413214670405e-43,7.525162590827633e-37,-1.49983087960046e-144,2.746234583884015e-32,2.3108770266602714e-93,7.898896871297886e-80,7.281370021273132e-132,1.5225825434913548e-24,1.8830740756352055e-103,6.595038982871372e-17,2.2542233511777732e-17,1.579968665596287e-17,1.7908425750302017e-17,1.48333764252671e-17,7.120020684128239e-18,7.213514723768875e-18,3.606880376492263e-18,2.746234584155301e-32,1.5920978324375162e-33,3.054225486369197e-18,2.1563227156030204e-48,3.546978098192468e-31,2.06385567299812e-33,1.1901313246610277e-62,5.072785595341655e-18,1.3511019125442578e-36,7.856470118699237e-44
8.17333443181619e-25,0.06210963536780779,0.0,15.421822461826673,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.656134485791446e-72,3.0504702526379676e-24,1.3402813672072763e-70,0.0,3.1347298875705572e-118,2.7753128916948403e-49,4.0741457061887e-78,1.2312174212949225e-59,3.115542470265315e-88,1.2533214452701533e-42,1.507654526036895e-36,3.932623043090432e-144,5.502037929386926e-32,1.8562220987659844e-92,6.339640600220168e-79,2.342042412692953e-130,3.0504702526394726e-24,3.026986579291765e-102,1.3213057195647369e-16,4.516301139119231e-17,3.165442448494374e-17,3.5879250196598106e-17,2.9718437088949656e-17,1.4264849802695948e-17,1.4452163645181538e-17,7.226328280428042e-18,5.502037930474907e-32,6.38502439123411e-33,6.11909287338776e-18,1.7303131788102351e-47,1.4224968598479254e-30,8.276984330733367e-33,9.563643610448385e-62,1.0163246401816901e-17,5.4185226490498896e-36,6.304322144605568e-43
