Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33)
0.0,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1005374292839592e-27,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.56301218934335e-92,1.5401516452191853e-31,4.596690615449021e-91,0.0,6.805340518827061e-150,3.882328477367369e-58,3.482964091907001e-100,4.062698437199617e-76,0.0,3.069317924541366e-53,1.0620703438922464e-48,-1.0327765060171269e-164,5.555957093524571e-43,0.0,4.6234296440315594e-101,9.4259405597327e-167,1.5401516452191853e-31,5.801271376933508e-129,2.904862473535267e-19,9.928991832815252e-20,6.959104966702187e-20,7.887976713595154e-20,6.533535077728729e-20,3.13609683730979e-20,3.1772773865008804e-20,1.5886400611415558e-20,5.555957113150925e-43,2.941226916754025e-39,1.3452695312508292e-20,6.794426856910167e-57,1.2135227734460207e-35,3.124689376849764e-39,1.6970546669455128e-74,2.2343680682508375e-20,2.2570670253942505e-44,2.374360637090259e-52,5.9884340493825585e-65
5.881504801995086e-27,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.895624022334868e-91,4.312424606613719e-31,6.946518858077225e-90,0.0,4.972525319901872e-148,5.866972427249343e-57,4.13499117017281e-99,2.453869856068569e-75,1.0835066502896339e-108,1.8538680264229854e-52,2.973796962898291e-48,-1.032776506017126e-164,1.5556679861876782e-42,9.076647686719726e-115,5.783383637553681e-100,6.926140705750444e-165,4.312424606613719e-31,1.8240125427975934e-127,8.133614925898745e-19,2.780117713188271e-19,1.948549390676613e-19,2.208633479806644e-19,1.8293898217640445e-19,8.781071144467414e-20,8.896376682202466e-20,4.4481921711963523e-20,1.5556679980419965e-42,1.7765010577194316e-38,3.766754687502322e-20,8.066343564523751e-56,7.32967755161399e-35,1.8873123836172574e-38,2.6285325457170518e-73,6.256230591102346e-20,1.3632684694908568e-43,2.8188409221327786e-51,1.1126473391636318e-63
1.344343954741734e-26,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.417997657595376e-90,9.856970529402786e-31,7.472747999741123e-89,0.0,2.4738755525798523e-146,6.311420326646026e-56,4.0597913639221924e-98,1.181432705537649e-74,1.0836956178537043e-108,8.925576524566294e-52,6.797250200910378e-48,-1.0327765060171224e-164,3.5558125398613135e-42,9.07823068762039e-115,6.269098508205403e-99,3.4547031327167486e-163,9.856970529402786e-31,4.069271644299949e-126,1.8591119830625693e-18,6.354554773001761e-19,4.453827178689403e-19,5.0483050967009e-19,4.181462449746387e-19,2.0071019758782658e-19,2.0334575273605636e-19,1.0167296391305929e-19,3.5558125969347546e-42,8.553087873920708e-38,8.609725000005308e-20,7.919583944414494e-55,3.528924225181063e-34,9.086596707879114e-38,2.979124976195293e-72,1.4299955636805363e-19,6.5635507021374214e-43,2.767554677307996e-50,1.943283239800193e-62
2.856730903826185e-26,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.818417855611298e-89,2.0946062374980923e-30,6.868742852880649e-88,0.0,1.1032223403180516e-144,5.801282299932232e-55,3.5908968797264153e-97,5.1596270152435154e-74,1.085402231166715e-108,3.8980337641675357e-51,1.4444156676934554e-47,-1.0327765060171072e-164,7.556101647221361e-42,9.092527164504514e-115,6.588111930756639e-98,1.5465761249304065e-161,2.0946062374980923e-30,7.621295434764923e-125,3.950612964007956e-18,1.3503428892628743e-18,9.464382754714988e-19,1.0727648330489412e-18,8.885607705711073e-19,4.265091698741315e-19,4.3210972456411978e-19,2.160550483152502e-19,7.556101896476069e-42,3.735358184277613e-37,1.829566562501128e-19,7.004782312400108e-54,1.5411739222764812e-33,3.9683555085992e-37,3.018421070663529e-71,3.0387405728211395e-19,2.8664749076180116e-42,2.447870671717318e-49,3.232453365232809e-61
5.881504801995086e-26,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.833300027768574e-88,4.3124246066137196e-30,5.876354122544875e-87,0.0,5.000023220929634e-143,4.9631190102609016e-54,3.01846162647415e-96,2.154042711403238e-73,1.0998700602908536e-108,1.6273523635918326e-50,2.9737969628982904e-47,-1.0327765060170436e-164,1.5556679861992552e-41,9.213725670961642e-115,7.290392798642264e-97,7.044340379985609e-160,4.312424606613719e-30,1.3163892581235206e-123,8.13361492589872e-18,2.780117713188271e-18,1.9485493906766187e-18,2.2086334798066436e-18,1.8293898217640444e-18,8.781071144467415e-19,8.896376682202467e-19,4.448192171196296e-19,1.5556680902581887e-41,1.5594385112629847e-36,3.7667546875023224e-19,5.887941603368643e-53,6.434097744811116e-33,1.656710307605745e-36,3.0618804473773474e-70,6.256230591102346e-19,1.1966967436946293e-41,2.0575826286386565e-48,5.263431465081773e-60
1.1931052598332888e-25,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.823085267893471e-87,8.748061344844973e-30,4.85868322609777e-86,0.0,2.4460195477065575e-141,4.103602721101919e-53,2.474875310320342e-95,8.79996732291186e-73,1.2189432466007066e-108,6.648265397273582e-50,6.03255955330796e-47,-1.032776506016757e-164,3.1557836291739326e-41,1.0211214113492907e-114,8.85067344648437e-96,3.4639204394778017e-158,8.748061344844973e-30,2.1872004406388735e-122,1.6499618849680203e-17,5.639667361039064e-18,3.952771621086868e-18,4.480370773322048e-18,3.711047924149919e-18,1.781303003591961e-18,1.8046935555325003e-18,9.02347554728378e-19,3.1557840542886295e-41,6.370815150765891e-36,7.641130937504711e-19,4.827290260889676e-52,2.628538868195283e-32,6.768202177831664e-36,3.324716021014257e-69,1.269121062766476e-18,4.888895824184285e-41,1.6869302802907778e-47,8.491085453663795e-59
2.4030148191008494e-25,0.045450764422602166,0.0,11.285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.922052840067011e-86,1.7619334821307482e-29,3.9510005085440536e-85,0.0,1.3081363965625432e-139,3.3369815603715804e-52,2.0044742537643538e-94,3.5570874912932513e-72,2.1849926760195195e-108,2.687335170196345e-49,1.21500847341273e-46,-1.0327765060146898e-164,6.356014915205044e-41,1.830391046791515e-114,1.1821561506869368e-94,1.860430481263413e-156,1.7619334821307477e-29,3.5656887391293604e-121,3.3231626697243e-17,1.135876665674065e-17,7.961216081907408e-18,9.023845360352858e-18,7.474364128921667e-18,3.587694781882401e-18,3.634805330157008e-18,1.8174042299458353e-18,6.35601663358662e-41,2.5751853445101544e-35,1.538988343750949e-18,3.909264809220223e-51,1.062497437245333e-31,2.7358155345220574e-35,3.993490183888193e-68,2.5561170700789585e-18,1.976169174619117e-40,1.3661194361159489e-46,1.36398130991616e-57
4.822833937635971e-25,0.045450764422602166,0.0,11.285424806132117,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.163277701631591e-85,3.53618817742325e-29,3.1866250450449532e-84,0.0,7.522262406705243e-138,2.69139651029777e-51,1.6137874641332259e-93,1.430289235609874e-71,9.967527318476604e-108,1.0805656526064864e-48,2.438513509576598e-46,-1.032776505976831e-164,1.2756477487594296e-40,8.349901106133699e-114,1.7006954219171785e-93,1.0729394395144187e-154,3.536188177423248e-29,5.7585968381317e-120,6.669564239236787e-17,2.279696524814382e-17,1.5978105003548646e-17,1.8110794534414477e-17,1.5000996538465158e-17,7.200478338463279e-18,7.295028879406023e-18,3.647517580380588e-18,1.2756484397131034e-40,1.0354707009509218e-34,3.0887388437519046e-18,3.1465164168124377e-50,4.2722554648294075e-31,1.1000593938774666e-34,5.3015831589937095e-67,5.130109084703924e-18,7.946083833461179e-40,1.0995710611974171e-45,2.1866283023082213e-56
9.662472174706212e-25,0.045450764422602166,0.0,11.285424806132117,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.5409166763705824e-84,7.084697568008254e-29,2.5596705324146143e-83,0.0,4.538024918504802e-136,2.1618760380531114e-50,1.2956243342966546e-92,5.736099547291513e-71,-1.7679431729015648e-104,4.333551561752408e-48,4.885523581904333e-46,-1.0327767750456173e-164,2.55574026336809e-40,-1.4810243486996016e-110,2.5670600816698446e-92,6.484113288290755e-153,7.084697568008247e-29,9.256776231012948e-119,1.336236737826148e-16,4.5673362430950163e-17,3.2011882846831764e-17,3.628469288253772e-17,3.005426135755213e-17,1.4426045451625033e-17,1.4615475977904052e-17,7.307744281249451e-18,2.5557430344013603e-40,4.152700636403509e-34,6.188239843753815e-18,2.524881263809702e-49,1.713365522693208e-30,4.411730183037919e-34,7.60116763988871e-66,1.0278093113953854e-17,3.1867306009215704e-39,8.823353874712963e-45,3.501981211094563e-55
