Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667)
0.0,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.622995501138717e-27,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.649317225350323e-74,1.690693992876453e-24,1.772263662485752e-71,0.0,1.0410921971826001e-120,1.3969805448845607e-50,6.893112174375962e-78,1.1856614173591184e-58,4.0406091889405884e-86,8.569807386612279e-45,4.0296150188199925e-34,-1.0549106887572112e-133,4.646014445696965e-30,3.261866947378786e-89,1.2319046046053887e-78,2.325339011736661e-130,1.6906939932794155e-24,1.7396928595080775e-103,2.9369522293128746e-19,1.0038676517007951e-19,7.036395965972548e-20,7.975114486424273e-20,6.605710455020726e-20,3.170741018409948e-20,3.2123764854425434e-20,1.6066040152241556e-20,4.6460144456967986e-30,2.1000698668061805e-37,1.360130603369112e-20,6.065812649482081e-54,9.683426695670642e-36,3.568277092294394e-37,1.091654106899778e-66,2.2590509323384453e-20,2.354275767972087e-39,1.9142964414571366e-49,3.371595102003883e-57,2.633421366529315e-85
4.5443874031884076e-27,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.458204819098418e-72,4.73394318005407e-24,2.6782448467516984e-70,0.0,6.333471837755358e-119,8.437778821416368e-50,8.183502773546957e-77,7.161394960849075e-58,6.106168609567444e-85,5.176163661513818e-44,1.1282922052695979e-33,-1.054905256861526e-133,1.3008840447951503e-29,4.929333331559285e-88,1.4625171537156664e-77,1.4146171869944087e-128,4.733943181182363e-24,5.469872570869733e-102,8.223466242076046e-19,2.8108294247622264e-19,1.9701908704723145e-19,2.2330320561987974e-19,1.8495989274058035e-19,8.878074851547857e-20,8.994654159239124e-20,4.498491242627632e-20,1.3008840447951102e-29,1.2684421995509335e-36,3.808365689433514e-20,7.201332777465128e-53,5.848789724185064e-35,2.155239363745814e-36,1.643949620686984e-65,6.325342610547647e-20,1.421982563743499e-38,2.2726527351342627e-48,4.0027827285228897e-56,1.6020485477490788e-83
1.038717120728779e-26,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5686702026947325e-71,1.0820441554409302e-23,2.881133590833536e-69,0.0,2.8592319601989802e-117,4.062443509593731e-49,8.034611550834623e-76,3.4479034016803166e-57,6.568737549986893e-84,2.492099988026852e-43,2.5789536120447953e-33,-1.0546381306669613e-133,2.9734492452460593e-29,5.302751859793805e-87,1.4359080284322375e-76,6.386258244680839e-127,1.0820441556988258e-23,1.2202984798269452e-100,1.879649426760237e-18,6.42475297088509e-19,4.503293418222435e-19,5.104073271311536e-19,4.2276546912132645e-19,2.029274251782367e-19,2.0559209506832283e-19,1.0282265697434574e-19,2.973449245245997e-29,6.107003172672375e-36,8.704835861562318e-20,7.070311224236316e-52,2.8159404831010178e-34,1.0376549784392099e-35,1.7665038343502097e-64,1.4457925966966054e-19,6.846233931588205e-38,2.231303931655124e-47,3.930008823509743e-55,7.232509049158193e-82
2.2072738815486552e-26,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4418781743533275e-70,2.299343830311977e-23,2.6482581455826307e-68,0.0,1.0795916049997687e-115,1.7741899883880777e-48,7.10652292808533e-75,1.5057900000460802e-56,6.037801502279041e-83,1.08836553809976e-42,5.48027642559519e-33,-1.044202893396633e-133,6.318579646147882e-29,4.874142542849213e-86,1.2700444152607778e-75,2.411329647166731e-125,2.2993438308600047e-23,2.2854839995093945e-99,3.994255031865492e-18,1.3652600063130817e-18,9.569498513722681e-19,1.0846155701537016e-18,8.983766218828185e-19,4.31220778503753e-19,4.36883202020186e-19,2.184981460704841e-19,6.318579646147875e-29,2.6670887308438506e-35,1.8497776205819922e-19,6.253610209110048e-51,1.2297951903501667e-33,4.5317119072138805e-35,1.6230030195565171e-63,3.072309267980286e-19,2.989930223594104e-37,1.973563058219289e-46,3.4761425888513086e-54,2.730930716856857e-80
4.5443874031884076e-26,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2335571349112648e-69,4.7339431800540697e-23,2.2656405989607678e-67,0.0,3.745604939162227e-114,7.407012295638558e-48,5.973460721944834e-74,6.286376834838045e-56,5.1654663027666124e-82,4.5437118763818325e-42,1.128292205269598e-32,-6.765972681622479e-134,1.3008840447951544e-28,4.169931563742047e-85,1.0675488993733513e-74,8.366023048694645e-124,4.733943181182362e-23,3.947605249346415e-98,8.223466242075964e-18,2.8108294247622263e-18,1.9701908704723195e-18,2.2330320561987977e-18,1.849598927405801e-18,8.878074851547856e-19,8.994654159239123e-19,4.498491242627588e-19,1.3008840447952053e-28,1.1134570433806372e-34,3.808365689433512e-19,5.25653618903878e-50,5.13415283404453e-33,1.8919005143344873e-34,1.388239361847357e-62,6.325342610547647e-19,1.2482370106213978e-36,1.6588986654908224e-45,2.9220659215340667e-53,9.475373525010364e-79
9.218614446467914e-26,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0199288938007054e-68,9.603141879538255e-23,1.8732754604141272e-66,0.0,1.2474429237005555e-112,3.0261028916831057e-47,4.8974040023932906e-73,2.568190056456545e-55,4.270907429451783e-81,1.8562545591697665e-41,2.288821330689756e-32,1.1654822286986299e-132,2.6389362051558937e-28,3.4477800554718976e-84,8.752411558589238e-74,2.7862351887066995e-122,9.603141881827077e-23,6.559005163162255e-97,1.6681888662496753e-17,5.701968261660515e-18,3.996672908672432e-18,4.529865028288989e-18,3.752043538451763e-18,1.800980898456851e-18,1.8246298437313654e-18,9.125510806473004e-19,2.638936205156208e-28,4.548835334296861e-34,7.725541827136548e-19,4.309625954313718e-49,2.0974689559890056e-32,7.729030912993347e-34,1.1477163490062194e-61,1.2831409295682371e-18,5.099455471272251e-36,1.3600653507039914e-44,2.3959463129738273e-52,3.156032211458891e-77
1.8567068533026923e-25,0.07782336798655136,0.0,19.3235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.293892378883262e-68,1.9341539278506629e-22,1.523316493837241e-65,0.0,4.071862079977786e-111,1.2232773320293313e-46,3.9660447369315594e-72,1.0381034826459413e-54,3.4730309921946175e-80,7.50327771773361e-41,4.609879581530072e-32,4.155877515747434e-131,5.3150405258774015e-28,2.8036774818276392e-83,7.08793092841732e-73,9.0947371352421e-121,1.9341539283116504e-22,1.0692833823335663e-95,3.359873350333774e-17,1.148424593545709e-17,8.049636985072691e-18,9.123530972469369e-18,7.55693276054367e-18,3.627327725060981e-18,3.674958699346271e-18,1.837954993416352e-18,5.315040525878882e-28,1.838711971742418e-33,1.5559894102542605e-18,3.490046832401524e-48,8.478304876540725e-32,3.12419787160417e-33,9.332620878233078e-61,2.5843542665951816e-18,2.0612814292498692e-35,1.10141618032014e-43,1.940720768193389e-51,1.0304016271054232e-75
3.7263976706144947e-25,0.07782336798655136,0.0,19.3235422710607,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.689324670454857e-67,3.881833407644337e-22,1.2286099382095454e-64,0.0,1.3159558586345283e-109,4.919372900855648e-46,3.192217845628641e-71,4.17416844626947e-54,2.801125314393084e-79,3.0170349696864007e-40,9.251996083210704e-32,1.349261394059078e-129,1.066724916732053e-27,2.2612674592859407e-82,5.704985260930686e-72,2.939262806941191e-119,3.8818334085695353e-22,1.7268955186657878e-94,6.743242318501729e-17,2.304880128305022e-17,1.615556513787335e-17,1.8310862860830125e-17,1.5166711204727426e-17,7.280021378269243e-18,7.375616410576088e-18,3.6887628189543295e-18,1.0667249167326907e-27,7.393379968885835e-33,3.1228598653354662e-18,2.809093317929032e-47,3.409089101917377e-31,1.256226223450609e-32,7.526937992074287e-60,5.18678094064907e-18,8.288321924198832e-35,8.865155585281221e-43,1.5627391546035852e-50,3.3315029769028233e-74
7.4657793052380995e-25,0.07782336798655136,0.0,19.3235422710607,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.37322935639053e-66,7.777192367231686e-22,9.868863170446114e-64,0.0,4.231919368381643e-108,1.9733927101762378e-45,2.5615537874783722e-70,1.6740282412008339e-53,2.25001618424821e-78,1.209965963031356e-39,1.8536229086571966e-31,4.3439175621695744e-128,2.137166645020723e-27,1.8163729962968768e-81,4.577894295208059e-71,9.452234612063858e-118,7.777192369085303e-22,2.7759341103304705e-93,1.3509980254836674e-16,4.617791197823643e-17,3.236742144347525e-17,3.6685526637551606e-17,3.038626809309468e-17,1.4585408684685763e-17,1.4776931833035725e-17,7.390378470029782e-18,2.1371666450233668e-27,2.9650760445244456e-32,6.256600775497854e-18,2.254120477120277e-46,1.3671972051055148e-30,5.038029016947888e-32,6.045994395882279e-59,1.0391634288756846e-17,3.32398776027817e-34,7.113728978004802e-42,1.255088247224031e-49,1.072276641801443e-72
