Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613)
0.0,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4539473522832073e-27,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8147364161490237e-68,1.6468672680067803e-22,1.4829314428199017e-65,0.0,4.44559983038752e-112,3.1621843279613445e-46,3.6917294049384216e-71,2.5137632136164827e-53,6.728770996039257e-78,3.500264548982656e-42,9.60965854541275e-30,-1.780642112340738e-124,5.5548967951701e-26,9.044617641974e-80,7.717975645935884e-72,9.881507019010369e-120,1.646867364103367e-22,1.0838902347584581e-95,2.990514465915452e-19,1.022175541131687e-19,7.16688511872188e-20,8.120559470101944e-20,6.726181133021072e-20,3.228566943850114e-20,3.2709617316213986e-20,2.9373576468728754e-20,5.554896795156177e-26,8.024334055031031e-37,1.3849357862593716e-20,6.576971147851859e-53,1.679780412330283e-35,2.010022649344536e-36,7.398260400086455e-64,2.300250043215198e-20,8.913924625256281e-38,1.621548150190452e-48,1.1964882886386353e-54,3.758005910099705e-83,1.2992895152163108e-20,1.1104989262358874e-69
4.07105258639298e-27,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7424296717134114e-67,4.611228350418985e-22,2.2410059962375668e-64,0.0,2.7044753225915396e-110,1.9099593414223717e-45,4.382821149544268e-70,1.5183129810243557e-52,1.0168518729215294e-76,2.1141597875855245e-41,2.69070439271557e-29,-1.5644284481338464e-124,1.5553711026476284e-25,1.3668226180551703e-78,9.162780687116638e-71,6.011402938549176e-118,4.6112286194894285e-22,3.4079214648296766e-94,8.373440504563263e-19,2.862091515168724e-19,2.0067278332421272e-19,2.273756651628544e-19,1.8833307172459e-19,9.03998744278032e-20,9.158692848539919e-20,8.224601411244047e-20,1.5553711026437295e-25,4.846697769238745e-36,3.877820201526241e-20,7.80818014672973e-52,1.0145873690474909e-34,1.2140536802041002e-35,9.853066925493439e-63,6.440700121002555e-20,5.3840104735602275e-37,1.92510196387495e-47,1.4204710861396634e-53,2.286178681728269e-81,3.638010642605671e-20,3.4915863570776953e-68
9.305263054612527e-27,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.950180696580396e-66,1.0539950515243396e-21,2.4107719877895837e-63,0.0,1.2209294373082575e-108,9.195632135615723e-45,4.3030797944003305e-69,7.310023425196734e-52,1.0938828432841935e-75,1.0178769308441565e-40,6.150181469064161e-29,9.068384971751452e-124,3.5551339489088644e-25,1.470365400820492e-77,8.996072413684586e-70,2.713834637687944e-116,1.053995113026155e-21,7.602883933194066e-93,1.9139292581858847e-18,6.541923463242796e-19,4.58680647598201e-19,5.197158060865244e-19,4.3047559251334836e-19,2.066282844064073e-19,2.0934155082376965e-19,1.8799088939986367e-19,3.5551339488999536e-25,2.3334763432030254e-35,8.863589032059978e-20,7.666117569936129e-51,4.884801439056456e-34,5.845145864293913e-35,1.0142602385187038e-61,1.4721600276577268e-19,2.5921692808826735e-36,1.890076523765409e-46,1.3946273378276062e-52,1.0320906317762089e-79,8.315452897384389e-20,7.78953709446466e-67
1.9773683991051622e-26,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7117243315305922e-65,2.2397394844892215e-21,2.2159147962162206e-62,0.0,4.6099972459452694e-107,4.015974210031071e-44,3.806025347323814e-68,3.192479281292934e-51,1.0054667923962314e-74,4.445335977207973e-40,1.3069135621761343e-28,4.244373496974747e-122,7.554659641431337e-25,1.3515191250049485e-76,7.956924173552109e-69,1.0246923223789339e-114,2.2397396151805796e-21,1.4239359148829207e-91,4.06709967364499e-18,1.3901587359390939e-18,9.746963761461788e-19,1.104396087933864e-18,9.147606340908646e-19,4.390851043636156e-19,4.4485079550051075e-19,3.9948063997470933e-19,7.554659641412403e-25,1.019090424988942e-34,1.8835126693127434e-19,6.780594174589357e-50,2.1333211236594522e-33,2.552728764667562e-34,9.157199163886238e-61,3.1283400587726695e-19,1.1320684272609662e-35,1.6717512807175263e-45,1.2335328020947538e-51,3.89698007143777e-78,1.767033740694183e-19,1.458894089346996e-65
4.0710525863929805e-26,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.3199372572318673e-64,4.611228350418986e-21,1.8957617611860837e-61,0.0,1.5994222009045123e-105,1.6765902328329206e-43,3.199193634664478e-67,1.3327972558594599e-50,8.601980096085296e-74,1.855840263870604e-39,2.6907043927155707e-28,1.5056780057909166e-120,1.5553711026476284e-24,1.1562530658088352e-75,6.6882742100746575e-68,3.555133684665415e-113,4.611228619489429e-21,2.4594950998272667e-90,8.373440504563152e-18,2.86209151516872e-18,2.00672783324214e-18,2.2737566516285433e-18,1.8833307172458946e-18,9.039987442780319e-19,9.158692848539938e-19,8.224601411243973e-19,1.5553711026437304e-24,4.254501915977461e-34,3.8778202015262293e-19,5.6994979651900604e-49,8.906195746175091e-33,1.0657140086824736e-33,7.770996310617301e-60,6.440700121002555e-19,4.7261628349916453e-35,1.4052076818166638e-44,1.0368598496510943e-50,1.3520449643175252e-76,3.6380106426056705e-19,2.5198767380122738e-64
8.258420960968617e-26,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.9181689874670674e-63,9.354206082278513e-21,1.5674524845866e-60,0.0,5.3267437170380566e-104,6.849418606504857e-43,2.6228922288494575e-66,5.444911671221848e-50,7.112283489428375e-73,7.581713023678394e-39,5.458286053794443e-28,5.05902253096109e-119,3.1551813796566176e-24,9.560123945526947e-75,5.483451288479231e-67,1.184007950354392e-111,9.354206628107127e-21,4.086487822781709e-89,1.698612216639928e-17,5.805957073627966e-18,4.070790747434083e-18,4.6124777790178975e-18,3.820470883555946e-18,1.8338260241068646e-18,1.857906263560963e-18,1.66841914342376e-18,3.1551813796487128e-24,1.738102853655948e-33,7.866435265953181e-19,4.6727927810258095e-48,3.638471564323825e-32,4.353789459386244e-33,6.40050782097721e-59,1.3065420245462324e-18,1.93079172841206e-34,1.1520741563015961e-43,8.500823229164372e-50,4.502884521774386e-75,7.379964446428648e-19,4.186812888152028e-63
1.663315771011989e-25,0.10054149576763871,0.0,24.96445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.5598231644638512e-62,1.884016154599757e-20,1.274626328873735e-59,0.0,1.7387378694134137e-102,2.7686448752847225e-42,2.12408613001727e-65,2.200920354155485e-49,5.783590815788147e-72,3.064649625332667e-38,1.0993449375952187e-27,1.6584233613509066e-117,6.354801933674596e-24,7.774134021982e-74,4.4406410256198417e-66,3.8647991538889897e-110,1.8840162645342523e-20,6.662006469959009e-88,3.421148549007075e-17,1.1693688190546431e-17,8.198916575818054e-18,9.289920033796597e-18,7.694751216176012e-18,3.69348058376453e-18,3.741980220974914e-18,3.360337148022433e-18,6.354801933658684e-24,7.025689633214355e-33,1.5843665394807003e-18,3.784148744408805e-47,1.470728380454904e-31,1.7598713105883128e-32,5.195015737430597e-58,2.6314860494381858e-18,7.80456886860606e-34,9.329795207880436e-43,6.884219018171283e-49,1.469823222063291e-73,1.4863872054074598e-18,6.825561704698987e-62
3.3382631208422437e-25,0.10054149576763871,0.0,24.96445339910469,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.2580538906148573e-61,3.781207247343568e-20,1.0280323107465285e-58,0.0,5.619300354219018e-101,1.113260218331199e-41,1.7096493087897877e-64,8.849803944065375e-49,4.664675517899234e-71,1.2322821355275398e-37,2.2063776020267678e-27,5.371081746710944e-116,1.2754043041710555e-23,6.270120726074424e-73,3.5742142311118626e-65,1.2490363060701326e-108,3.7812074679813314e-20,1.0759158197670258e-86,6.866221213741057e-17,2.346915042438325e-17,1.6455168232586327e-17,1.864480454335395e-17,1.5443311881416e-17,7.41278970307986e-18,7.51012813580287e-18,6.744173157219568e-18,1.2754043041678655e-23,2.824998901409931e-32,3.1798125652514316e-18,3.0458121230005826e-46,5.913734132824841e-31,7.076365137923436e-32,4.1860819004802373e-57,5.281374099222091e-18,3.138182812567625e-33,7.509430848696514e-42,5.541069841632483e-48,4.750258089402751e-72,2.9831687269366502e-18,1.1023300385089115e-60
6.688157820502753e-25,0.10054149576763871,0.0,24.96445339910469,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.0105373008473547e-60,7.57558943283119e-20,8.257714587869793e-58,0.0,1.8070827871474441e-99,4.464673726767678e-41,1.3718859004072955e-63,3.5491671987258295e-48,3.746921051913607e-70,4.942002515121317e-37,4.420442930889865e-27,1.7290770449174902e-114,2.5552525257782472e-23,5.036501950975703e-72,2.868081834997872e-64,4.016713589491773e-107,7.575589874875488e-20,1.7295032532116856e-85,1.3756366543207772e-16,4.7020074892056424e-17,3.296767154612423e-17,3.7354573562468474e-17,3.09404332118954e-17,1.4851407941710516e-17,1.504642396545898e-17,1.3511845175612992e-17,2.5552525257718702e-23,1.1329509106294268e-31,6.370704616792763e-18,2.4440724101605986e-45,2.3716718854863188e-30,2.837938918473671e-31,3.360938854877348e-56,1.0581150198789894e-17,1.2585516634822035e-32,6.025845315090845e-41,4.44644217412006e-47,1.527639737114455e-70,5.9767317699950296e-18,1.771963342117128e-59
