Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511)
0.0,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.066845607107726e-27,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.109358314685165e-86,2.3609738538750343e-29,4.0073836971167695e-85,0.0,6.427349509599521e-141,1.4733314149898307e-57,2.067843442463007e-93,7.652357070561444e-71,0.0,1.1246925143800785e-50,2.726549554482994e-44,-2.9086642603896573e-155,3.923713080161882e-39,0.0,2.8783714958282814e-94,1.3825775298977057e-155,2.3609738538750366e-29,2.9881057168163265e-121,3.0522480178308973e-19,1.043276434491128e-19,7.312199094689802e-20,8.288193161676985e-20,6.865030503890411e-20,3.295214641867398e-20,3.3384845903716116e-20,2.9953609755467836e-20,3.9237130804641314e-39,1.1565029733956886e-38,1.413525183246096e-20,5.383369118609217e-56,2.2297505330964957e-35,1.3039616891830472e-38,4.0292107748630113e-72,2.347734383143932e-20,7.708727115488995e-43,1.9892413462765913e-51,7.174269902417228e-63,2.3278998097475253e-90,1.3261109058683182e-20,6.27379212393482e-77,-3.1508082407829417e-139,3.3444497316875772e-62
5.787167699901633e-27,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.1876622851562666e-85,6.610726790850097e-29,6.055958243084096e-84,0.0,3.916153136741313e-139,2.2236625398577904e-56,2.4549439882835557e-92,4.622023670619113e-70,2.2909476399273664e-104,6.7931427868556745e-50,7.634338752552384e-44,-2.908664260389654e-155,1.098639662445388e-38,1.3094855703832404e-109,3.4188291102248043e-93,8.424401797705782e-154,6.610726790850103e-29,9.395082583013322e-120,8.546294449926513e-19,2.9211740165751595e-19,2.0474157465131454e-19,2.3206940852695563e-19,1.9222085410893156e-19,9.226600997228716e-20,9.347756853040513e-20,8.38701073153099e-20,1.0986396626279469e-38,6.98527795930996e-38,3.957870513089069e-20,6.3911358176128644e-55,1.346769321990285e-34,7.875928602665606e-38,6.091486583868393e-71,6.57365627280301e-20,4.656071166154099e-42,2.36162732091056e-50,8.84844013790582e-62,1.4703299833684406e-88,3.713110536431291e-20,1.9725806484333427e-75,6.40208144881401e-137,2.0200476396123993e-61
1.3227811885489446e-26,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.429141625020993e-84,1.511023266480022e-28,6.5147235287308106e-83,0.0,1.7696122116858963e-137,2.3909926694308917e-55,2.4102790738565462e-91,2.2253054361192684e-69,6.553133423082209e-104,3.270605831817269e-49,1.7449917148691161e-43,-2.908664260389624e-155,2.5111763713040326e-38,3.7457135679427167e-109,3.3598909153924384e-92,3.8068939765288565e-152,1.5110232664800236e-28,2.095991242780186e-118,1.953438731411773e-18,6.676969180743222e-19,4.679807420601478e-19,5.304443623473272e-19,4.393619522489865e-19,2.108937370795135e-19,2.1366301378378316e-19,1.9170310243499367e-19,2.5111763721829755e-38,3.363110646634663e-37,9.046561172775015e-20,6.274855044650907e-54,6.484114550244627e-34,3.791920592144302e-37,6.558969916947257e-70,1.5025500052121167e-19,2.241697827782318e-41,2.3186596965140655e-49,9.388884413579011e-61,7.166159135577218e-87,8.487109797557237e-20,4.400718916824516e-74,3.5496499536353166e-134,9.725659844365995e-61
2.810910025666507e-26,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.1519719424706606e-83,3.210924441270047e-28,5.988153310930663e-82,0.0,6.69407684530398e-136,2.197295680416366e-54,2.1318654429951425e-90,9.718493479613036e-69,1.1602715040287909e-102,1.4283594932627e-48,3.708107394096872e-43,-2.9086642603873284e-155,5.3362497890223e-38,6.632010115694883e-108,2.9775476969740234e-91,1.4401550307086512e-150,3.2109244412700504e-28,3.925559629947863e-117,4.151057304250011e-18,1.4188559509079349e-18,9.944590768778155e-19,1.1271942699880703e-18,9.336441485290962e-19,4.481491912939662e-19,4.540339042905392e-19,4.0736909267436015e-19,5.336249792860875e-38,1.4687587762125248e-36,1.9223942492146908e-19,5.550038226521362e-53,2.8317831770325678e-33,1.6560313452624705e-36,6.039968221511888e-69,3.192918761075748e-19,9.790083256851571e-41,2.0508282232748612e-48,9.552151650097212e-60,3.106665070285828e-85,1.803510831980913e-19,8.242059494353854e-73,1.3014476197303717e-131,4.2474511844593004e-60
5.787167699901633e-26,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.696578357196064e-82,6.610726790850096e-28,5.122991229794269e-81,0.0,2.331052653013687e-134,1.879658835749856e-53,1.791962867667418e-89,4.057279718811678e-68,7.722343749666002e-102,5.963119711243177e-48,7.634338752552384e-43,-2.9086642603244105e-155,1.0986396624462745e-37,4.4140239320560993e-107,2.5124897389256786e-90,5.015590236150207e-149,6.610726790850103e-28,6.780428043005469e-116,8.546294449926473e-18,2.92117401657516e-18,2.0474157465131554e-18,2.3206940852695566e-18,1.9222085410893157e-18,9.226600997228716e-19,9.347756853040513e-19,8.387010731530885e-19,1.0986396640488047e-37,6.131778764943941e-36,3.957870513089069e-19,4.665141544280851e-52,1.1822137326477775e-32,6.913604876048516e-36,5.1864017926315665e-68,6.57365627280301e-19,4.0871669547947584e-40,1.7238446591721595e-47,1.0128283528965702e-58,1.3561492579215547e-83,3.713110536431291e-19,1.4236108121067913e-71,3.9585433668715294e-129,1.7732272703396538e-59
1.1739683048371885e-25,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.2295831324421524e-81,1.3410331490010195e-27,4.2357882177339755e-80,0.0,7.82042827446727e-133,1.5540689574098335e-52,1.469161897641535e-88,1.6575311509118913e-67,7.238839491120445e-101,2.436128973847825e-47,1.548680146946341e-42,-2.9086642579315545e-155,2.2286690295359298e-37,4.1376571401008164e-106,2.0757638937854325e-89,1.683069953175376e-147,1.341033149001021e-27,1.126578260333304e-114,1.7336768741279316e-17,5.92581014790961e-18,4.153329085783854e-18,4.7076937158325294e-18,3.899337326209754e-18,1.871681916580682e-18,1.8962592473310755e-18,1.7013650341105266e-18,2.228669036082787e-37,2.505031700493998e-35,8.028823040837826e-19,3.8247648939817113e-51,4.829728844708462e-32,2.824433177238048e-35,4.319774947580701e-67,1.3335131296257534e-18,1.6697409911009603e-39,1.413311945876286e-46,1.1746159336474176e-57,6.370425896841172e-82,7.532309945332048e-19,2.365350656216174e-70,1.1026381804977893e-126,7.244212087767353e-59
2.3644713745312387e-25,0.051829194243811355,0.0,12.869188930738359,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.813059975322329e-80,2.7009540888330393e-27,3.4444726324760985e-79,0.0,2.589960561030885e-131,1.2637153796552797e-51,1.189769400420624e-87,6.700005928415932e-67,5.548016749637904e-100,9.847222815804494e-47,3.119172690328546e-42,-2.9086641840573144e-155,4.488727763721501e-37,3.1711976962187122e-105,1.7067154767878706e-88,5.576524926345367e-146,2.700954088833042e-27,1.8366068980148243e-113,3.4917717323984714e-17,1.1935082410578511e-17,8.365155764325325e-18,9.481692976958474e-18,7.853594896450628e-18,3.7697255502963045e-18,3.819226371385124e-18,3.4266929560253286e-18,4.488727790184947e-37,1.0125738653506485e-34,1.617072809633534e-18,3.097393774872768e-50,1.952253619751675e-31,1.1416810490408386e-34,3.564094566113524e-66,2.6858081343166584e-18,6.749359481392359e-39,1.1445365656213614e-45,1.5087935892606625e-56,3.2897083791068528e-80,1.517070876313356e-18,3.856118553313158e-69,2.9431360867116594e-124,2.9282264305858298e-58
4.745477513919339e-25,0.051829194243811355,0.0,12.869188930738359,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,1.4622985527057037e-79,5.420795968497079e-27,2.7780919626910384e-78,0.0,8.6110256429368e-130,1.0192211672310708e-50,9.576363683488294e-87,2.6940429161194383e-66,4.6092563996559745e-99,3.959524984575643e-46,6.260157777092954e-42,-2.908661720503895e-155,9.008845232117694e-37,2.6346105167804985e-104,1.4150970034693703e-87,1.8556932088888505e-144,5.4207959684970825e-27,2.9661250461198315e-112,7.007961448939434e-17,2.3953626935916314e-17,1.6788809121408567e-17,1.9029691499210366e-17,1.5762110036932374e-17,7.565812817727546e-18,7.66516061949322e-18,6.877348799854637e-18,9.008845338526042e-37,4.071514977958458e-34,3.2454538207330363e-18,2.4930519771859194e-49,7.84992594178838e-31,4.590649285236484e-34,2.9573631971164305e-65,5.3903981436984684e-18,2.713887301697113e-38,9.212224543778102e-45,2.111957253726988e-55,1.8454724203338429e-78,3.0447506398736586e-18,6.227641763815924e-68,7.692571422733676e-122,1.1774270330448022e-57
9.507489792695541e-25,0.051829194243811355,0.0,12.869188930738359,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,1.1745977207399306e-78,1.0860479727825158e-26,2.2315145435691863e-77,0.0,2.92400077427623e-128,8.186894434278356e-50,7.684532228439943e-86,1.080431703378327e-65,3.604090813758691e-98,1.5879466128981472e-45,1.254212795062177e-41,-2.9085845337484467e-155,1.8049080169010266e-36,2.0600666871275263e-103,1.2019420852207456e-86,6.311448084648671e-143,1.0860479727825162e-26,4.767959382626657e-111,1.4040340882020894e-16,4.799071598659191e-17,3.3636115835576225e-17,3.8125688543714145e-17,3.157914031789582e-17,1.5157987352590032e-17,1.535702911570941e-17,1.3778660487512069e-17,1.804908059575534e-36,1.632859609119532e-33,6.5022158429320405e-18,2.0005172047623483e-48,3.1481713991764226e-30,1.8410556851874076e-33,2.5085208500391185e-64,1.0799578162462088e-17,1.0883898197854516e-37,7.392227686582502e-44,3.135166847108074e-54,1.0966254708243712e-76,6.100110166994264e-18,1.0010752250066853e-66,1.9898040543296912e-119,4.7220095338909496e-57
