Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511),CHOX(665),NO2X(213),SX(672),H2NO3(231),CH2NX(666),CNO2X(792)
0.0,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.402276960029431e-28,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.334528050390901e-64,9.325202782954944e-21,9.323691989026232e-60,0.0,1.5731462947274335e-98,1.3773719420351633e-41,1.941371428203513e-64,7.628138340256832e-48,2.7705315042535105e-70,1.0117127752503524e-39,3.618211178580186e-25,-7.112246033951888e-113,2.049575909277005e-21,3.808479016308545e-70,1.7727059956285595e-59,3.1267329771420236e-104,9.325577518824688e-21,6.287462560651815e-88,1.6336279385301824e-19,5.583836965536152e-20,3.9260401525474275e-20,4.4360169389093445e-20,3.6743100706433657e-20,1.7636688339088154e-20,1.7868278289715718e-20,1.615576744480164e-20,2.2905805148753003e-19,1.0763876873455544e-36,7.565486872878206e-21,1.801944212510664e-52,4.645633544840291e-36,5.1403357741366144e-36,9.789659908845506e-60,1.256557284383939e-20,1.8246523555481407e-36,2.971973923419231e-48,1.5485455286506917e-52,2.6207152492907688e-82,7.097627102254952e-21,5.002055062006893e-68,-8.89740966638047e-128,2.0736593957625728e-47,1.2229888867778652e-61,1.3813123647189456e-38,1.1105069278371042e-86,2.270084884930049e-19,3.196432877707225e-86,1.380400870582137e-105
1.7926375488082404e-27,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4106338885270645e-62,2.6110567792273843e-20,1.408996340265923e-58,0.0,9.570216655125349e-97,8.319326529982711e-41,2.3047961595632192e-63,4.607395557515126e-47,4.186827209228553e-69,6.110745162512127e-39,1.0130991300024519e-24,7.009185370249412e-112,5.738812545975614e-21,5.755373489446364e-69,2.1045565580102254e-58,1.902144260893806e-102,2.6111617052709123e-20,1.9755210863953996e-86,4.574158227884509e-19,1.5634743503501215e-19,1.0992912427132809e-19,1.2420847428946162e-19,1.0288068197801422e-19,4.938272734944683e-20,5.003117921120406e-20,4.5236148845444584e-20,6.413625441650842e-19,6.501381631567154e-36,2.118336324405896e-20,2.1392681690926615e-51,2.805962661083536e-35,3.1047628075785154e-35,1.1636203533711743e-58,3.518360396275029e-20,1.1020900227493432e-35,3.528327441878076e-47,1.8384332531439675e-51,1.594308981796258e-80,1.987335588631387e-20,1.5727261573677782e-66,1.8078517171165048e-125,1.2524902750405698e-46,1.4519324063826557e-60,8.343126682902429e-38,6.755755589535281e-85,6.356237677804138e-19,1.9445461028429522e-84,1.0651791604354713e-103
4.097457254418835e-27,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5174955670320036e-61,5.968129781091164e-20,1.5157339671538133e-57,0.0,4.32045326439518e-95,4.005397607573737e-40,2.2628625367140416e-62,2.2182626293466874e-46,4.5039976558355885e-68,2.942060750428024e-38,2.3156551542913187e-24,3.866784309561127e-110,1.3117285819372831e-20,6.191368167233495e-68,2.0662661085046483e-57,8.587188438088813e-101,5.9683696120478e-20,4.406620288220023e-85,1.0455218806593151e-18,3.573655657943131e-19,2.512665697630361e-19,2.839050840901979e-19,2.3515584452117523e-19,1.1287480537016414e-19,1.1435698105418101e-19,1.0339691164673047e-19,1.4659715295201925e-18,3.130135394800882e-35,4.841911598642038e-20,2.1003461741024328e-50,1.3509502348395563e-34,1.4948096431189282e-34,1.1430592981666092e-57,8.041966620057209e-20,5.306089049907989e-35,3.464132805121226e-46,1.8049846729378326e-50,7.197472852424781e-79,4.5424813454431705e-20,3.508665542451897e-65,1.0023678719322796e-122,6.0302015228772e-46,1.4255158464281997e-59,4.016856356602693e-37,3.0498710104808368e-83,1.452854326355232e-18,8.778610635904406e-83,1.160884356414954e-101
8.707096665640025e-27,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.394839867621378e-60,1.2682275784818724e-19,1.3932206538209028e-56,0.0,1.6313209461040571e-93,1.7492623665246557e-39,2.00147628762075e-61,9.68773569212619e-46,4.139949816176622e-67,1.2848752245679469e-37,4.9207672028690526e-24,1.5218389968587686e-108,2.787423236616726e-20,5.690934024490477e-67,1.8275889732532186e-56,3.2423589632669965e-99,1.2682785425601574e-19,8.252622189853894e-84,2.2217339964010404e-18,7.594018273129134e-19,5.33941460746454e-19,6.032983036916701e-19,4.99706169607497e-19,2.3985896141159872e-19,2.430085847401358e-19,2.197184372493021e-19,3.115189500230409e-18,1.3670123629288636e-34,1.0289062147114294e-19,1.85773240533e-49,5.899954601947166e-34,6.52822643315351e-34,1.0112652364837116e-56,1.7089179067621575e-19,2.3173084915192698e-34,3.063986236054208e-45,1.596488508177149e-49,2.717628810304603e-77,9.652772859066737e-20,6.571342249549493e-64,3.675092750099518e-120,2.6335474326180934e-45,1.2608526227123407e-58,1.754266703193061e-36,1.1515732668589243e-81,3.087315443504868e-18,3.3146363546902175e-81,9.49675486198151e-100
1.7926375488082404e-26,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1933148731806624e-59,2.6110567792273843e-19,1.1919296016826186e-55,0.0,5.659810186927206e-92,7.302826037930415e-39,1.6823614177384137e-60,4.044438948004184e-45,3.541814228660225e-66,5.364101134377359e-37,1.013099130002452e-23,5.377000980356963e-107,5.738812545975613e-20,4.868713872701456e-66,1.5361986525157775e-55,1.1249249470988156e-97,2.6111617052709125e-19,1.4253947146459337e-82,4.5741582278844754e-18,1.5634743503501083e-18,1.0992912427132967e-18,1.2420847428946128e-18,1.0288068197801393e-18,4.9382727349446745e-19,5.003117921120492e-19,4.523614884544451e-19,6.413625441650842e-18,5.707007518306214e-34,2.1183363244058688e-19,1.5615360234543518e-48,2.4631149054743184e-33,2.7254060274472407e-33,8.501254061189426e-56,3.5183603962750296e-19,9.674306788874422e-34,2.5754650503904956e-44,1.3419447964694865e-48,9.42871687571824e-76,1.9873355886313869e-19,1.135035955869861e-62,1.117833234928628e-117,1.0994542116329796e-44,1.0598226014592063e-57,7.323718157739847e-36,3.995342650801871e-80,6.35623767780414e-18,1.1500013399855144e-79,6.834883491391524e-98
3.6364933132967163e-26,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.866558135932953e-59,5.296715180718408e-19,9.855104443300515e-55,0.0,1.8849530988535215e-90,2.983442722392626e-38,1.3793015342576322e-59,1.6522852770530007e-44,2.92844049622791e-65,2.191410339703266e-36,2.0551439494335454e-23,1.806447528804558e-105,1.1641591164693384e-19,4.0255467816444135e-65,1.2594684685457039e-54,3.746469748948876e-96,5.296928030692423e-19,2.3682811500990946e-81,9.279006690851287e-18,3.171619396424475e-18,2.229990806647011e-18,2.519657621300492e-18,2.0870081201254188e-18,1.0017638976602033e-18,1.0149182068558912e-18,9.176475908647295e-19,1.3010497324491709e-17,2.3314987862980363e-33,4.2971965437946986e-19,1.2802415760606326e-47,1.006262808346583e-32,1.113417290021094e-32,6.970223892336294e-55,7.137245375300776e-19,3.952269988006755e-33,2.111521851300014e-43,1.1002074369387784e-47,3.1401564290931756e-74,4.0314521940808133e-19,1.8858792165764513e-61,3.1136847320577403e-115,4.491629197594714e-44,8.68906600460538e-57,2.991977834475823e-35,1.3306159339298342e-78,1.2894082146402683e-17,3.829984661562063e-78,4.632906647012652e-96
7.324204842273669e-26,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.023321216490406e-58,1.0668031983700455e-18,8.01400726385968e-54,0.0,6.152800859753093e-89,1.205955249982516e-37,1.1169941432491679e-58,6.678801267535269e-44,2.3813591772235534e-64,8.858030969448897e-36,4.1392335882957325e-23,5.921785593808873e-104,2.3447148402128916e-19,3.273507788244164e-64,1.0199502197534667e-53,1.222910124734244e-94,1.0668460681535447e-18,3.860868688520857e-80,1.8688703616784674e-17,6.387909488573117e-18,4.491389934514555e-18,5.074803378112223e-18,4.2034107208159576e-18,2.017637145991669e-18,2.0441310363436366e-18,1.8482197956852927e-18,2.620424109017344e-17,9.424290868800845e-33,8.6549169825721685e-19,1.0367728207982565e-46,4.067475158917799e-32,4.500610706373821e-32,5.644820485575967e-54,1.437501533335227e-18,1.597570720427049e-32,1.7099651399955058e-42,8.909765329957979e-47,1.0249993879500918e-72,8.119685404979666e-19,3.07445909435752e-60,8.310974587716032e-113,1.8155883366387867e-43,7.036630929774343e-56,1.209405278304942e-34,4.3433521503519006e-77,2.5969771083599768e-17,1.2501708187489643e-76,3.0505138520533475e-94
1.4699627900227573e-25,0.1547348997255798,0.0,38.42067560186146,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070595,0.0,6.471099225871564e-57,2.1410665589664547e-18,6.463587185653762e-53,0.0,1.988478919023742e-87,4.849093023930076e-37,8.990540627813883e-58,2.6855166152408437e-43,1.9206524470914908e-63,3.561775293779827e-35,8.307412866020106e-23,1.917869223233933e-102,4.705826287699997e-19,2.640202622182592e-63,8.209446705212763e-53,3.952234207353044e-93,2.1411525983221494e-18,6.235291170196832e-79,3.75080974686505e-17,1.2820489672870031e-17,9.014188190250098e-18,1.0185094891735585e-17,8.436215922196957e-18,4.049383642654576e-18,4.10255669531937e-18,3.7093642053263946e-18,5.2591728621536896e-17,3.7894659088079964e-32,1.737035786012634e-18,8.344849633753672e-46,1.6355138719951809e-31,1.8096757706279386e-31,4.543503517866453e-53,2.8850555249455278e-18,6.423761602435425e-32,1.3763287081315253e-41,7.17135468427461e-46,3.3126210930442754e-71,1.6296151826777372e-18,4.965259649684522e-59,2.1722667156708418e-110,7.300400849138967e-43,5.663692745330904e-55,4.862965432487626e-34,1.4036964428379747e-75,5.212114895799393e-17,4.040336289739967e-75,1.980114715782686e-92
2.945047401613538e-25,0.1547348997255798,0.0,38.42067560186146,0.03107511026318443,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070591,0.0,5.197938811692453e-56,4.289593280159272e-18,5.1919047324672355e-52,0.0,6.394650202218339e-86,1.9447031864611068e-36,7.214342649352834e-57,1.0770122753779096e-42,1.5427724950646721e-62,1.428431197099282e-34,1.6643771421468855e-22,6.174070317483196e-101,9.428049182674195e-19,2.120754326515014e-62,6.587563968038662e-52,1.2709792913305014e-91,4.289765658659361e-18,1.0023030693054979e-77,7.514688517237835e-17,2.5685650041462383e-17,1.805978470172302e-17,2.0405677918981893e-17,1.6901826324958634e-17,8.112876635980294e-18,8.219408013271813e-18,7.431653024608504e-18,1.053667036842638e-16,1.5197453174374498e-31,3.4801239615231625e-18,6.696216290814635e-45,6.55914212815855e-31,7.25760923748922e-31,3.645899781073457e-52,5.7801635081661336e-18,2.5762157117839375e-31,1.104417109893399e-40,5.754561163464284e-45,1.0652894205036894e-69,3.264908467037278e-18,7.98150987088802e-58,5.618908009295904e-108,2.9277872589054976e-42,4.5447567412066905e-54,1.9502666398724828e-33,4.5140779103654946e-74,1.0442390470678225e-16,1.299311748564987e-73,1.2762360888610181e-90
