Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511),CHOX(665),NO2X(213),SX(672),H2NO3(231),CH2NX(666),CNO2X(792),SX(731),S(698)
0.0,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4292484661367953e-27,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.69890177281989e-65,2.995146129926377e-21,1.408365471501401e-61,0.0,3.029832188595637e-101,3.4592242897930755e-43,1.1968360787035667e-66,9.60950128896563e-50,1.0542233926838346e-72,2.265402001688965e-40,7.310195055558513e-27,-2.030812492154277e-117,3.585583854615947e-23,1.5662010801090406e-73,3.8674947695798536e-62,1.1131649550113945e-107,2.9951534529028626e-21,2.1196455776188543e-90,3.286735573357482e-19,1.123425668574723e-19,7.883775997721101e-20,8.92492980393548e-20,7.392433327012466e-20,3.548367996965984e-20,3.5949621394391185e-20,3.2352987679132836e-20,2.8770952740431334e-21,2.313316363839233e-36,1.5221186078165522e-20,4.404981787046389e-52,1.937789988696483e-35,8.20014106667245e-36,5.1296060468985294e-61,2.528098001471504e-20,1.2244787721430216e-36,8.710734247292638e-48,7.642083490241678e-53,1.2088120865788697e-81,1.4279887686296774e-20,5.610597173142072e-68,-6.211493964820944e-127,1.3570922626329205e-48,1.7867662410797635e-62,8.926130746639139e-39,1.5309268758172418e-86,2.8412394482784043e-21,8.742778821644134e-86,1.774893707583214e-106,-1.398965524045983e-125,3.1479936932578386e-53
4.001895705183027e-27,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.100980355791923e-64,8.386409163793855e-21,2.128321900054389e-60,0.0,1.8431947717354627e-99,2.0893714714814123e-42,1.4208837926369093e-65,5.804138778535241e-49,1.5931423910237957e-71,1.3683028090201341e-39,2.0468546155563832e-26,1.7760433580612826e-116,1.0039634792924652e-22,2.366843072260758e-72,4.5914897904452e-61,6.7719256305008165e-106,8.386429668128015e-21,6.66409856803934e-89,9.202859605400941e-19,3.1455918720092237e-19,2.2074572793619104e-19,2.498980345101934e-19,2.0698813315634897e-19,9.935430391504753e-20,1.0065893990429539e-19,9.05883655015719e-20,8.055866767320773e-21,1.3972430837588975e-35,4.261932101886343e-20,5.2295943775814725e-51,1.170425153172675e-34,4.952885204270159e-35,6.156195812499328e-60,7.078674404120211e-20,7.395851783693049e-36,1.0341383698319764e-46,9.072681619831703e-52,7.353794015776945e-80,3.998368552163097e-20,1.7640596548670537e-66,1.2620773087077096e-124,8.196837266302622e-48,2.1212488814098435e-61,5.391382970970041e-38,9.313375522111999e-85,7.95547045517953e-21,5.318659144269989e-84,1.3695875205723439e-104,2.8424766766207e-123,4.757248112595537e-52
9.14719018327549e-27,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.638910630267123e-63,1.9168935231528814e-20,2.289551579162532e-59,0.0,8.32106226479228e-98,1.0059424241413978e-41,1.395032133336983e-64,2.794442974831205e-48,1.713829885018239e-70,6.587789020911507e-39,4.6785248355574474e-26,9.910413203862091e-115,2.294773666954206e-22,2.546141771911637e-71,4.507951903422275e-60,3.057170934301014e-104,1.916898209857832e-20,1.4867040255983573e-87,2.1035107669487815e-18,7.1899242788782195e-19,5.045616638541519e-19,5.711955074518705e-19,4.731157329287974e-19,2.270955518058229e-19,2.3007757692410413e-19,2.0705912114644978e-19,1.8413409753876054e-20,6.727123986044501e-35,9.741559090025912e-20,5.134446770981274e-50,5.635093287129364e-34,2.3846010221883486e-34,6.073253883297209e-59,1.6179827209417623e-19,3.5607842693157035e-35,1.0153231838439528e-45,8.907612826897733e-51,3.319854216203519e-78,9.139128119229935e-20,3.93551914360933e-65,6.997616778081764e-122,3.9464242997362093e-47,2.0826547306024137e-60,2.5957188211226617e-37,4.2045029991097306e-83,1.8183932468981786e-20,2.4010970319228582e-82,1.4926435086406221e-102,1.576017782066055e-120,5.1176304368802e-51
1.9437779139460417e-26,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.021474937604249e-62,4.073398736699872e-20,2.1044923562487522e-58,0.0,3.1418747838845804e-96,4.3932148549560166e-41,1.2338901237004478e-63,1.2204066636986353e-47,1.5753049312195847e-69,2.8770605421449836e-38,9.941865275559576e-26,3.9012086021849193e-113,4.876394042277688e-22,2.3403429499853115e-70,3.987232407646044e-59,1.1543295751008808e-102,4.073408695947893e-20,2.7844174441586178e-86,4.469960379766141e-18,1.527858909261619e-18,1.0721935356900765e-18,1.213790453335224e-18,1.0053709324736931e-18,4.825780475873736e-19,4.889148509637228e-19,4.400006324362047e-19,3.912849572698661e-20,2.9379117820758376e-34,2.0700813066305e-19,4.541360023173352e-49,2.4609932856445245e-33,1.0414179154674021e-33,5.383267005493245e-58,3.438213282001245e-19,1.5550880405428948e-34,8.980418579158809e-45,7.878683047510837e-50,1.253513843341928e-76,1.9420647253363615e-19,7.370791129892707e-64,2.565613712386772e-119,1.7235071735434752e-46,1.8420845239032605e-59,1.1336186048231704e-36,1.587540407055432e-81,3.8640856496586287e-20,9.066085956522618e-81,1.2210751219212975e-100,5.778328676411113e-118,4.70398406182668e-50
4.001895705183027e-26,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.00701963656837e-61,8.386409163793854e-20,1.800437517948274e-57,0.0,1.0900623173108029e-94,1.834080724675178e-40,1.0371589964276467e-62,5.094957583409579e-47,1.3477065345262883e-68,1.2011161412954882e-37,2.0468546155563833e-25,1.3783922598954635e-111,1.0039634792924649e-21,2.0022126663984142e-69,3.351509087401585e-58,4.004905536111543e-101,8.386429668128016e-20,4.8093765688301486e-85,9.202859605400799e-18,3.145591872009205e-18,2.207457279361939e-18,2.498980345101928e-18,2.0698813315634805e-18,9.935430391504747e-19,1.006589399042965e-18,9.058836550157114e-19,8.055866767320775e-20,1.2265203361075723e-33,4.2619321018862975e-19,3.817286736945823e-48,1.0274162520068672e-32,4.347714793549742e-33,4.529536813416971e-57,7.078674404120209e-19,6.492186449193618e-34,7.548582926175683e-44,6.6225084629680565e-49,4.3490222489529284e-75,3.998368552163097e-19,1.2731208133064612e-62,7.803689085590346e-117,7.195303176476743e-46,1.5483830362592632e-58,4.73263452186807e-36,5.507915678847291e-80,7.955470455179531e-20,3.1454466773751606e-79,8.788167103845015e-99,1.7575632397809928e-115,4.024357400798509e-49
8.118131287656998e-26,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.966719999884568e-60,1.701243001798182e-19,1.4886365568874393e-56,0.0,3.6303626360197487e-93,7.492818233384225e-40,8.503256077789361e-62,2.081456417195112e-46,1.1143098248353598e-67,4.906951351738359e-37,4.152190791557235e-25,4.63082239439245e-110,2.0366116294218568e-21,1.655468151574831e-68,2.7477696395019706e-57,1.333800755075776e-99,1.7012471612488262e-19,7.990841079705288e-84,1.8668658056669865e-17,6.381057797504342e-18,4.477984766705715e-18,5.069360128635325e-18,4.1989021297430385e-18,2.015473022276676e-18,2.041938495201469e-18,1.837649700174712e-18,1.6341901156564997e-19,5.010735776730425e-33,8.645633692397815e-19,3.129642297698628e-47,4.1973306271160644e-32,1.7761833556055273e-32,3.7154091365724624e-56,1.435959664835814e-18,2.6522699990126512e-33,6.188784348362965e-43,5.42953359483603e-48,1.4484062614075022e-73,8.110976205816568e-19,2.115309226388826e-61,2.173689790557637e-114,2.939516124550869e-45,1.2694579624875443e-57,1.933435624245023e-35,1.8343662321952934e-78,1.6138240066221335e-19,1.0475652690740863e-77,5.956906862236746e-97,4.8956304473586777e-113,3.327416522424126e-48
1.635060245260494e-25,0.12567964629887188,0.0,31.206256176009887,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.038854218707792e-59,3.4264471726357747e-19,1.2105345254105775e-55,0.0,1.1850108292722907e-91,3.028716951846817e-39,6.886157233600973e-61,8.413579634551282e-46,9.061382435668711e-67,1.9834681917747647e-36,8.362863143558937e-25,1.5180478272695105e-108,4.1019079296806394e-21,1.3461992075413593e-67,2.2252150948074674e-56,4.353747813439523e-98,3.4264555501208757e-19,1.302707957272456e-82,3.7600254959207005e-17,1.285198964849448e-17,9.019039741393472e-18,1.0210119695702075e-17,8.456943726102089e-18,4.059332988529075e-18,4.1126366875185564e-18,3.7011817904926594e-18,3.2913969935053447e-19,2.0254195157267902e-32,1.7413036873420527e-18,2.5344654741324026e-46,1.6966281490231744e-31,7.179617110642996e-32,3.009561163267475e-55,2.8921441136833994e-18,1.0720899394987143e-32,5.011838019261889e-42,4.3969787626347285e-47,4.727841059576205e-72,1.6336191513123511e-18,3.4484878779394377e-60,5.801961958843238e-112,1.1881994163616368e-44,1.0280399709418328e-56,7.8152559229584e-35,5.987679162917785e-77,3.2503779288304943e-19,3.4194288050795334e-76,3.9222963375916234e-95,1.3067305855330973e-110,2.7057998557004407e-47
3.281554478250082e-25,0.12567964629887188,0.0,31.206256176009887,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,3.257482244930027e-58,6.876855514310958e-19,9.763399493684584e-55,0.0,3.8297502333227864e-90,1.2178337832942956e-38,5.542578423750833e-60,3.383063366785509e-45,7.308333205489042e-66,7.975438363026031e-36,1.6784207847562342e-24,4.9164515695181704e-107,8.232500530198198e-21,1.085758430297561e-66,1.7910466976390758e-55,1.407056061638514e-96,6.876872327864975e-19,2.103876170201017e-81,7.546344876427729e-17,2.5793853350474216e-17,1.8101149690769807e-17,2.049163882983539e-17,1.6973026918819928e-17,8.147052921033857e-18,8.254033072153046e-18,7.428245971128344e-18,6.605810749203034e-19,8.144122791551207e-32,3.494784323546469e-18,2.0399583070947772e-45,6.82206716680508e-31,2.886892463086358e-31,2.4226468772666855e-54,5.804513011378569e-18,4.310826492477042e-32,4.033963256165026e-41,3.5390737529776346e-46,1.527957688673652e-70,3.27866221277374e-18,5.569317103893008e-59,1.5164778367095985e-109,4.77769759427274e-44,8.274560060687432e-56,3.1424800338772913e-34,1.9351159015281317e-75,6.523485773247216e-19,1.1051011376557498e-74,2.545997853695145e-93,3.415446466255686e-108,2.182325607953968e-46
6.574542944229258e-25,0.12567964629887188,0.0,31.206256176009887,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,2.616586888611696e-57,1.3777672197661323e-18,7.842493429769062e-54,0.0,1.231590280875947e-88,4.884058302755675e-38,4.4475701256778535e-59,1.3567597212882856e-44,5.870450674858213e-65,3.19850749377261e-35,3.362689725556915e-24,1.582720935040912e-105,1.6493685731233285e-20,8.721402172914195e-66,1.4372021786742494e-54,4.524881427210099e-95,1.3777705883353178e-18,3.3819189662992125e-80,1.511898363744019e-16,5.16775807544315e-17,3.626536958952575e-17,4.10546770981013e-17,3.400519330425455e-17,1.6322492786043353e-17,1.6536825841423282e-17,1.488237433239887e-17,1.3234638260598412e-18,3.2661574942069394e-31,7.001745595954788e-18,1.6369380693569023e-44,2.7359540583002808e-30,1.1577729971188876e-30,1.9441375931017304e-53,1.1629250806768898e-17,1.7288342282913523e-31,3.2370014600671307e-40,2.839888163013328e-45,4.91369036392112e-69,6.568748335696517e-18,8.952514561935584e-58,3.922607372458253e-107,1.916070423044182e-43,6.639813335089082e-55,1.2602750444395293e-33,6.223052136114584e-74,1.3069701462080657e-18,3.5538450125347066e-73,1.6409647983821954e-91,8.834596659712052e-106,1.7529626082665296e-45
