Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511),CHOX(665),NO2X(213),SX(672),H2NO3(231),CH2NX(666),CNO2X(792),SX(731),S(698),S(882),CH3NX(657),HN2O2(399),SX(545),H2NOX(203),SX(542),SX(1241),HNOH(93),S(1037),SX(481),SX(1371),SX(482),CNO2X(669),HNO2X(492)
0.0,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5103495165015804e-27,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,-6.506022870250746e-150,4.864035271655751e-64,6.955142935941234e-21,2.2906176121150725e-60,4.199362038764014e-109,2.3010729892161657e-99,7.222725129097719e-42,2.7356812384074506e-65,8.291118387738772e-47,3.194140915168752e-71,8.529067441579832e-40,5.011714937393934e-26,-8.1049837165262e-115,2.5422064049461244e-22,1.0660033801500026e-71,1.2914538634721316e-60,1.7232894434089579e-105,6.955193325817126e-21,8.80495306953221e-89,3.6077133620805407e-19,1.233137776179863e-19,1.0631434698673678e-19,9.796525394465262e-20,8.114367553124619e-20,3.8948964254998174e-20,3.94604088377557e-20,3.5559735398488016e-20,2.281359703008409e-20,3.5759784177628835e-36,1.6707664847165173e-20,9.334328607177393e-52,2.3054357258905977e-35,1.4187922186347554e-35,1.1388425418962798e-59,2.774988354551712e-20,2.9821344331925302e-36,1.721303400252427e-47,3.05411413967115e-52,4.291962287814978e-81,1.5674440631144425e-20,2.3073452840536436e-67,-5.425962051196186e-126,8.152327926746685e-48,1.1342524626521484e-61,2.2751945942329014e-38,8.643934845559e-86,2.2659052597492455e-20,3.760808803205438e-85,3.756348529991032e-105,-2.498036176389853e-124,1.9570675379410322e-52,7.735242146403725e-66,8.225168523484424e-81,6.518988201581035e-82,3.108761718812052e-85,1.973020441887783e-20,1.5739096093118031e-99,-1.4572258835838223e-164,9.967593517646755e-23,3.1191890619797756e-102,5.34095237627317e-38,1.6425077370061681e-103,1.4141363910440731e-42,2.5335933189787834e-86,6.674845152505487e-47
4.228978646204425e-27,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.346328600524558e-148,7.350530033827053e-63,1.9474400220635457e-20,3.461581319479509e-59,3.954673033681246e-107,1.399854981402224e-97,4.3625259781532896e-41,3.2478007662373695e-64,5.007835506194219e-46,4.826985751003151e-70,5.151556734714217e-39,1.4032801824703018e-25,7.860914537015892e-114,7.118177933849147e-22,1.6109443080827284e-70,1.5332140267141138e-59,1.0483610598168845e-103,1.9474541312287955e-20,2.7679408421263946e-87,1.0101597413825505e-18,3.452785773303615e-19,2.9768017156286337e-19,2.743027110450273e-19,2.272022914874892e-19,1.090570999139949e-19,1.1048914474571606e-19,9.956725911576639e-20,6.387807168423545e-20,2.159890964328783e-35,4.678146157206243e-20,1.1081714922441003e-50,1.3924831784379205e-34,8.569505000553925e-35,1.355313512765932e-58,7.769967392744795e-20,1.8012091976382495e-35,2.043531396769042e-46,3.625844327538285e-51,2.6110102012196952e-79,4.388843376720438e-20,7.254650246735652e-66,1.1024540838710848e-123,4.924006067754835e-47,1.34658452366059e-60,1.3742175349166725e-37,5.258527579449588e-84,6.344534727297887e-20,2.2878836052039967e-83,2.8985668441389e-103,5.07554261022202e-122,2.957520538524358e-51,2.1814621026521378e-64,5.0037715509700726e-79,3.3744161211445626e-80,1.609184636691369e-83,5.524457237285794e-20,1.4822008276355112e-97,2.513013887877793e-162,2.7909261849413733e-22,2.9374397245338584e-100,3.2259352352689945e-37,1.2674325584535367e-101,8.541383801916153e-42,1.5413084992011753e-84,4.0316064721143276e-46
9.666236905610115e-27,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.7668956411084082e-145,7.907364781771843e-62,4.45129147900239e-20,3.723811221403496e-58,3.4564046569141547e-105,6.319614529946646e-96,2.1003684678090144e-40,3.18871005148786e-63,2.4110572271544357e-45,5.192651002971691e-69,2.480252812011414e-38,3.2074975599321184e-25,4.3429795718586265e-112,1.6270120991655193e-21,1.7329803750423072e-69,1.5053186232631153e-58,4.732802950687831e-102,4.4513237285229604e-20,6.1748922519860955e-86,2.3089365517315383e-18,7.892081767551109e-19,6.80411820715118e-19,6.269776252457763e-19,5.193195233999751e-19,2.492733712319882e-19,2.525466165616372e-19,2.275823065503229e-19,1.4600702099253818e-19,1.0398945238854488e-34,1.0692905502185672e-19,1.088009342452598e-49,6.70420709088985e-34,4.125847771789871e-34,1.3320919654383454e-57,1.7759925469130958e-19,8.672046931573293e-35,2.0063512433012455e-45,3.5598755060548455e-50,1.1787348287649787e-77,1.0031642003932432e-19,1.6184719459013585e-64,6.11258091937618e-121,2.370696961097691e-46,1.322084670467217e-59,6.616265880029277e-37,2.3739507425220818e-82,1.450179366239517e-19,1.0328600362615209e-81,3.1589999721646836e-101,2.81414578947964e-119,3.18156564116219e-50,4.7451565756741486e-63,2.2589416644647326e-77,1.4734021438006799e-78,7.026329914130429e-82,1.2627330828081814e-19,1.2954511787672422e-95,5.24771281830412e-159,6.379259851295895e-22,2.5673374908146226e-98,1.5531489510202372e-36,1.3813100168915425e-99,4.112308625171092e-41,6.958203414182848e-83,1.9410449703501156e-45
2.0540753424421493e-26,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.6060639739070565e-143,7.268230553034876e-61,9.45899439288008e-20,3.4228240685548896e-57,2.578585117801038e-103,2.386166201337764e-94,9.172860916717198e-40,2.820377929548829e-62,1.0529720352428243e-44,4.772940886718505e-68,1.0831915650806379e-37,6.815932314855751e-25,1.709298516733549e-110,3.4574007107267285e-21,1.5929075308905928e-68,1.3314372750852275e-57,1.7870163417432837e-100,9.459062923111293e-20,1.1564717585169874e-84,4.906490172429496e-18,1.6770673756046063e-18,1.4458751190196325e-18,1.332327453647273e-18,1.1035539872249451e-18,5.297059138679748e-19,5.366615601934813e-19,4.836124014194352e-19,3.1026491960914367e-19,4.541492590558887e-34,2.2722424192144446e-19,9.623319420855631e-49,2.9279033718810503e-33,1.8018661176661417e-33,1.1787910021474413e-56,3.773984162190329e-19,3.7873107299989097e-34,1.7745949534549789e-44,3.148669649629092e-49,4.4506785418046085e-76,2.1317239258356415e-19,3.031218375283323e-63,2.241123038142956e-118,1.0353456466965758e-45,1.1693689188955924e-58,2.889497134675785e-36,8.963586526168638e-81,3.0816311532589733e-19,3.89988307209638e-80,2.584258179093783e-99,1.0317813630968925e-116,2.9244069601549273e-49,8.79672058083871e-62,8.529333909448041e-76,5.485106757104627e-77,2.6157264567451e-80,2.683307800967387e-19,9.664467740271264e-94,7.608971193934006e-156,1.3555927184009443e-21,1.9153134263213277e-96,6.783009517866921e-36,1.1299973853962256e-97,1.795953216641397e-40,2.6272852781806574e-81,8.477053343697675e-45
4.2289786462044247e-26,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.5928945474493378e-140,6.218124260632672e-60,1.947440022063546e-19,2.9282980534698903e-56,1.7786935150343964e-101,8.278719038264469e-93,3.829488865934388e-39,2.370697590304594e-61,4.395950969179099e-44,4.083351416260872e-67,4.522111557525619e-37,1.4032801824703019e-24,6.039341818580155e-109,7.118177933849145e-21,1.3627659291432422e-67,1.1191532548231316e-56,6.199989842193754e-99,1.9474541312287954e-19,1.997503118055342e-83,1.0101597413825336e-17,3.452785773303581e-18,2.976801715628682e-18,2.7430271104502618e-18,2.27202291487488e-18,1.0905709991399472e-18,1.1048914474571773e-18,9.95672591157656e-19,6.387807168423546e-19,1.895983757097904e-33,4.678146157206166e-19,8.088979821722259e-48,1.2223420218671864e-32,7.522436343201496e-33,9.910711568834859e-56,7.769967392744794e-19,1.5811276763386357e-33,1.491653985678685e-43,2.6466466947071093e-48,1.5441472171385764e-74,4.388843376720438e-19,5.235675552086997e-62,6.816703026980346e-116,4.322364266758812e-45,9.829250360944653e-58,1.206308173862284e-35,3.10988471981403e-79,6.344534727297886e-19,1.3530506752581678e-78,1.8599094651438653e-97,3.1383138143242165e-114,2.5018917237984734e-48,1.5119315107069287e-60,2.9592221605159726e-74,1.8897024439627216e-75,9.011574244470172e-79,5.524457237285801e-19,6.666495504534285e-92,9.221619395975113e-153,2.7909261849454564e-21,1.3211724317874234e-94,2.831772949900032e-35,8.13267362250757e-96,7.497751145454489e-40,9.115273576433245e-80,3.5390028998725453e-44
8.578785253728977e-26,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,4.29266947612211e-138,5.141265385420722e-59,3.950521187614621e-19,2.4211734583401637e-55,1.1812392218542017e-99,2.7571590902037635e-91,1.5644711559685507e-38,1.9436411160476174e-60,1.79588940725777e-43,3.3761939152385373e-66,1.8474301241159523e-36,2.8466540844397554e-24,2.028966397455123e-107,1.4439732380093975e-20,1.1267612235247952e-66,9.175494546956411e-56,2.0648554774675805e-97,3.950549809064128e-19,3.318869534701707e-82,2.0491811896616716e-17,7.004222568701472e-18,6.038654908846864e-18,5.564426424056221e-18,4.608960770174728e-18,2.2123011696838895e-18,2.2413512219845974e-18,2.019792970634085e-18,1.2958123113087764e-18,7.745712292011311e-33,9.489953633189472e-19,6.631834373423968e-47,4.993665999707998e-32,3.0731606972516434e-32,8.126300635215434e-55,1.5761933853853726e-18,6.459422466486644e-33,1.2229480592866433e-42,2.1698810814565013e-47,5.142655447788719e-73,8.903082278490034e-19,8.699152921684775e-61,1.8987683067030537e-113,1.7658268382431073e-44,8.058613304191531e-57,4.928162498892232e-35,1.0357215567812723e-77,1.2870341875375714e-18,4.5062241345862056e-77,1.2607073124485088e-95,8.741661776753551e-112,2.0686124590813902e-47,2.5059155991933607e-59,9.855445318723734e-73,6.2712334338861776e-74,2.9906129335030743e-77,1.1206756109922634e-18,4.4272528660556375e-90,1.0257431292003777e-149,5.6615931180416876e-21,8.773971918538307e-93,1.1568716485102716e-34,5.512591498566491e-94,3.063075988574632e-39,3.035766978409153e-78,1.445798159425267e-43
1.7278398468778079e-25,0.13560010218963095,0.0,33.66950537368536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,1.1272769101985442e-135,4.180791627449057e-58,7.95668351871677e-19,1.9688580464909253e-54,7.700003696309469e-98,8.999826484276926e-90,6.323842558650414e-38,1.5740109680750008e-59,7.25927212214791e-43,2.7454648214623985e-65,7.467607940340298e-36,5.7334018883786625e-24,6.651233317261181e-106,2.908284127258363e-20,9.162635141935241e-66,7.430553374886121e-55,6.740032186878138e-96,7.956741164734795e-19,5.410585381307722e-81,4.127224086219829e-17,1.4107096159497007e-17,1.2162361295283557e-17,1.1207225051268061e-17,9.282836480774338e-18,4.455761510771765e-18,4.514270771039554e-18,4.068033729586886e-18,2.60987550024162e-18,3.130940751715618e-32,1.9113568585155544e-18,5.3706314175161215e-46,2.018519638932001e-31,1.2422206894412374e-31,6.581248176685612e-54,3.1745866776071584e-18,2.6110018377375186e-32,9.90375045300791e-42,1.7572263099759008e-46,1.6786487219191218e-71,1.793156008202922e-18,1.418181455889045e-59,5.06814791789939e-111,7.137754411591321e-44,6.526073987386555e-56,1.9920420765914266e-34,3.380768331080094e-76,2.5921956171531362e-18,1.470906913431263e-75,8.301064567343445e-94,2.33330422970673e-109,1.6821612970770637e-46,4.080233937060842e-58,3.2169814971166184e-71,2.0433901103885495e-72,9.744476834972857e-76,2.2571353855196346e-18,2.885940697059985e-88,1.0942966426328886e-146,1.1402926984262983e-20,5.719384774407636e-91,4.676260171141205e-34,3.6297384421560584e-92,1.2381442890025318e-38,9.909250989271255e-77,5.844147323684325e-43
3.467762489887628e-25,0.13560010218963095,0.0,33.66950537368536,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,2.922673772580157e-133,3.371959907115577e-57,1.5969008180921067e-18,1.5879553412759085e-53,4.973286107230584e-96,2.9085884049844605e-88,2.542789286647129e-37,1.2669009629673321e-58,2.9189213928769866e-42,2.2143168398029262e-64,3.0026923090779153e-35,1.1506897496256475e-23,2.1541130582769733e-104,5.836905905756288e-20,7.389997181224183e-65,5.980755799641979e-54,2.1782619367412005e-94,1.5969123876076132e-18,8.738102083643504e-80,8.283309879335666e-17,2.831284334108711e-17,2.4409774068158277e-17,2.249282230569144e-17,1.8630587901973207e-17,8.942682192947475e-18,9.060109869149931e-18,8.16451524749227e-18,5.238001878107308e-18,1.2589375058872247e-31,3.836079848908552e-18,4.322751399190662e-45,8.116378690426397e-31,4.994914757392518e-31,5.297304592913135e-53,6.371373262050729e-18,1.0498723549520583e-31,7.97139996851364e-41,1.4143691765425414e-45,5.4251047434503065e-70,3.5988515689107594e-18,2.290366818699591e-58,1.3246784468738742e-108,2.870059655909991e-43,5.2527521006429225e-55,8.009913576780683e-34,1.0926063368672921e-74,5.2025184763842656e-18,4.753718935424859e-74,5.3882939209835894e-92,6.098635535868299e-107,1.3567240265674572e-45,6.585514024666352e-57,1.0396728308664257e-69,6.597982843096257e-71,3.1464325213892806e-74,4.530054934574393e-18,1.8639742707992212e-86,1.143643508406661e-143,2.28855947168209e-20,3.6940419722266626e-89,1.880303647876462e-33,2.356095103704527e-90,4.978523730910446e-38,3.2024999539164817e-75,2.3499059354000218e-42
6.947607775907269e-25,0.13560010218963095,0.0,33.66950537368536,0.03107511026318442,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070582,7.529562211990558e-131,2.7085415724414613e-56,3.1993657505329644e-18,1.2755320868288242e-52,3.1974676726460764e-94,9.353584417799788e-87,1.0197722386578637e-36,1.016608236147421e-57,1.1706180304938047e-41,1.7786597054452663e-63,1.2042139146361669e-34,2.30538887120121e-23,6.934594565938011e-103,1.1694149462752115e-19,5.936047621246194e-64,4.799179874368744e-53,7.004963945559617e-93,3.1993889298758812e-18,1.4046237652455998e-78,1.6595481465565429e-16,5.672433770426342e-17,4.8904599613913003e-17,4.506401681453697e-17,3.732609074436955e-17,1.7916523557298735e-17,1.815178806537254e-17,1.635747828330216e-17,1.0494254633838683e-17,5.048902472169961e-31,7.685525829693678e-18,3.4687357604766666e-44,3.255030868770184e-30,2.003184220737193e-30,4.2508107013355235e-52,1.2764946430937867e-17,4.210457707045492e-31,6.396546448869428e-40,1.1349431003449591e-44,1.7446337594072457e-68,7.210242690326434e-18,3.6816977516646886e-57,3.426488211361304e-106,1.151022288570228e-42,4.215002753975733e-54,3.212333596429857e-33,3.5136610096576296e-73,1.042316419484652e-17,1.5287260292671995e-72,3.472899526501389e-90,1.5775084637575156e-104,1.0897945199515138e-44,1.058274424469831e-55,3.343432012166914e-68,2.1208626276452373e-69,1.0113926185801153e-72,9.075894032683975e-18,1.198402292773664e-84,1.1830630683590749e-140,4.585093018239804e-20,2.3750050837452994e-87,7.540858614345733e-33,1.5185663013300097e-88,1.9966106863284182e-37,1.0298768039154734e-73,9.424173822394823e-42
