SV (1/s),150,SV (1/s),200,SV (1/s),250
0.220109454,2.323773596,0.220109454,1.172578308,0.219013514,1.14378022
0.293537443,3.581931444,0.292441503,1.834611249,0.292441503,1.160845195
0.328607528,2.570609557,0.326059641,1.353508914,0.329605741,1.085386209
0.437943262,3.574576639,0.437105601,1.973675213,0.437943262,1.339882762
0.438201541,4.402104228,0.438201541,1.186558272,0.438201541,1.160057121
0.439297481,2.366639628,0.583961579,1.882834335,0.585057519,1.201154699
0.585057519,5.002088402,0.657389568,2.113208251,0.657389568,1.353229141
0.657389568,5.496267939,0.875481655,2.425787734,0.875481655,1.225175619
0.875481655,12.09405194,0.875886525,3.312472861,0.875886525,1.414513678
0.875481655,6.878746825,1.313857709,3.643206377,1.314953649,1.902410558
1.314953649,20.80598761,1.752233763,9.201424195,1.752233763,3.042397198
1.752233763,22.27634787,,,,
